,MSOA21CD,PFA22CD,PFA22NM
0,E02000001,E23000034,"London, City of"
1,E02000002,E23000001,Metropolitan Police
2,E02000003,E23000001,Metropolitan Police
3,E02000004,E23000001,Metropolitan Police
4,E02000005,E23000001,Metropolitan Police
5,E02000007,E23000001,Metropolitan Police
6,E02000008,E23000001,Metropolitan Police
7,E02000009,E23000001,Metropolitan Police
8,E02000010,E23000001,Metropolitan Police
9,E02000011,E23000001,Metropolitan Police
10,E02000012,E23000001,Metropolitan Police
11,E02000013,E23000001,Metropolitan Police
12,E02000014,E23000001,Metropolitan Police
13,E02000015,E23000001,Metropolitan Police
14,E02000016,E23000001,Metropolitan Police
15,E02000017,E23000001,Metropolitan Police
16,E02000018,E23000001,Metropolitan Police
17,E02000019,E23000001,Metropolitan Police
18,E02000020,E23000001,Metropolitan Police
19,E02000021,E23000001,Metropolitan Police
20,E02000022,E23000001,Metropolitan Police
21,E02000023,E23000001,Metropolitan Police
22,E02000024,E23000001,Metropolitan Police
23,E02000025,E23000001,Metropolitan Police
24,E02000026,E23000001,Metropolitan Police
25,E02000027,E23000001,Metropolitan Police
26,E02000028,E23000001,Metropolitan Police
27,E02000029,E23000001,Metropolitan Police
28,E02000030,E23000001,Metropolitan Police
29,E02000031,E23000001,Metropolitan Police
30,E02000032,E23000001,Metropolitan Police
31,E02000033,E23000001,Metropolitan Police
32,E02000034,E23000001,Metropolitan Police
33,E02000035,E23000001,Metropolitan Police
34,E02000036,E23000001,Metropolitan Police
35,E02000037,E23000001,Metropolitan Police
36,E02000038,E23000001,Metropolitan Police
37,E02000039,E23000001,Metropolitan Police
38,E02000040,E23000001,Metropolitan Police
39,E02000041,E23000001,Metropolitan Police
40,E02000042,E23000001,Metropolitan Police
41,E02000043,E23000001,Metropolitan Police
42,E02000044,E23000001,Metropolitan Police
43,E02000045,E23000001,Metropolitan Police
44,E02000046,E23000001,Metropolitan Police
45,E02000047,E23000001,Metropolitan Police
46,E02000048,E23000001,Metropolitan Police
47,E02000049,E23000001,Metropolitan Police
